    4407 CC[C@H](C)[C@H](NNCC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1NCC(=O)[C@H](CCCCN)NC(=O)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)C(=O)N[C@@H](CC(C)C)C(=O)O
    5416 CC12NC(Cc3ccccc31)CC1CCCCC12
    5680 COc1ccc(CCCN2C3CCC2CC(COC(c2ccccc2)c2ccccc2)C3)cc1
    5733 O=C1C2=CCC[C@@]1(O)C#C/C=C\C#C[C@@H]2O
    5805 Cc1cc(C23CC4CC(CC(C4)C2)C3)nc2ccccc12
    5848 Cl.Cn1cc(NC(=O)c2cc(NC(=O)Cc3ccc(COCO[C@@]45C#C/C=C\C#C[C@H](O)C(=CCC4)C5=O)cc3)cn2C)cc1C(=O)NCCC(=N)N
    5849 Cl.Cn1cc(NC(=O)Cc2ccc(CO[C@H]3C#C/C=C\C#C[C@]4(O)CCC=C3C4=O)cc2)cc1C(=O)Cc1cc(C(=O)NCCC(=N)N)n(C)c1
    6244 CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
    6422 CCCCCCCC/C=C/CCCCCCCC(=O)OCc1cc(=O)c(OC(=O)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)co1
    6441 CC12CCC(C1)C(C)(C)C2OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c1ccc(O)cc1
    6448 N[C@@H](CC(=O)O)C(=O)N[C@@H](C(=O)OC1C2CC3COC1C3C2)c1ccccc1
    6473 CC12CC(O)C(C1)C(C)(C)C2OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c1ccccc1
    6556 CC12CCC(C1)C(C)(C)C2OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c1ccccc1F
    6561 N[C@@H](CC(=O)O)C(=O)N[C@@H](C(=O)OC1CC2CCC1C2)c1ccccc1
    6583 O=c1cc(COC2CCOCC2)occ1OC(=O)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
    6645 CC12CCC(O1)C(C)(C)C2COC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c1ccccc1
    6646 CC1(C)C2CCC1(C)C(OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c1ccccc1)C2
    6765 CC1(OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c2ccccc2)CC2CCC1C2
    7020 CC(C)(C)C12COC(c3ccc(C#N)cc3)(OC1)OC2
    7021 C#Cc1ccc(C23OCC(C(C)(C)C)(CO2)C(C#N)O3)cc1
    7229 O=C(O)CCCCCC[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)cc2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7241 O=C(O)CCCCC[C@H]1[C@H](CNS(=O)(=O)c2ccc(F)cc2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7255 O=C(O)CCC/C=C/C[C@H]1[C@H](COCc2ccccc2)C2CC1(c1ccc(F)cc1)CO2
    7287 O=C(O)CCCCC[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)cc2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7294 CCC#CC[C@H](C)[C@H](O)/C=C/[C@@H]1C2CC(c3ccc(F)cc3)(CO2)[C@H]1C/C=C/CCCC(=O)O
    7323 O=C(O)CC/C=C\C[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)cc2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7325 O=C(O)CCC/C=C\C[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)cc2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7329 O=C(O)CCC/C=C/C[C@H]1[C@H](/C=N/Oc2ccc(F)cc2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7338 O=C(O)CCC/C=C/C[C@@H]1[C@@H](COCc2ccccc2)C2CC1(Cc1ccccc1)CO2
    7339 Cc1ccc(S(=O)(=O)N[C@@H]2C3CC(c4ccc(-c5ccccc5)cc4)(CO3)[C@H]2C/C=C/CCCC(=O)O)cc1
    7344 CC12COC(C1)[C@H](COCc1ccccc1)[C@H]2C/C=C/CCCC(=O)O
    7357 CCC#CC[C@H](C)[C@H](O)/C=C/[C@@H]1C2CC(c3ccc(-c4ccccc4)cc3)(CO2)[C@H]1C/C=C/CCCC(=O)O
    7399 O=C(O)CCC/C=C/C[C@H]1[C@H](COCc2ccccc2)C2CC1(C#Cc1ccccc1)CO2
    7407 O=C(O)CCC/C=C/C[C@@H]1[C@@H](COCc2ccccc2)C2CC1(C#Cc1ccccc1)CO2
    7408 O=C(O)CCC/C=C/C[C@H]1[C@H](/C=N/Oc2ccc(F)cc2)C2CC1(c1ccc(F)cc1)CO2
    7409 CC(/C=C/C(O)=C1\C(=O)CNC1=O)=C\[C@@H](C)C1OC2(C)OC(C(=O)[C@@H]3O[C@@]32C)C1C
    7420 CCCCC[C@H](O)/C=C/[C@H]1C2CC(C)(CO2)[C@@H]1C/C=C/CCCC(=O)O
    7422 O=C(O)CC/C=C\C[C@H]1[C@H](CNS(=O)(=O)c2ccc(F)cc2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7423 O=C(O)CCCCCC[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)c(Cl)c2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7425 CCC#CC[C@H](C)[C@H](O)C#C[C@@H]1C2CC(c3ccc(-c4ccccc4)cc3)(CO2)[C@H]1C/C=C/CCCC(=O)O
    7430 O=C(O)CCC/C=C/C[C@@H]1[C@@H](COCc2ccccc2)C2CC1(c1ccccc1)CO2
    7439 O=C(O)CCC/C=C/C[C@H]1[C@H](/C=N/Oc2ccc(F)cc2)C2CC1(c1cccc(F)c1)CO2
    7450 O=C(O)CCC/C=C/C[C@H]1[C@H](COCc2ccccc2)C2CC1(c1ccccc1)CO2
    7462 CCC#CC[C@H](C)[C@H](O)C#C[C@@H]1C2CC(c3ccc(F)cc3)(CO2)[C@H]1C/C=C/CCCC(=O)O
    7468 O=C(O)CCC/C=C/C[C@@H]1[C@@H](COCc2ccccc2)C2CC1(c1ccc(F)cc1)CO2
    7470 Cc1ccc(S(=O)(=O)NC[C@@H]2C3CC(c4ccc(-c5ccccc5)cc4)(CO3)[C@H]2C/C=C\CCCC(=O)O)cc1
    7471 O=C(O)CCCCC[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)c(Cl)c2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7492 O=C(O)CCC/C=C/C[C@H]1[C@H](NS(=O)(=O)c2ccc(F)cc2)C2CC1(c1ccc(F)cc1)CO2
