7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
602818 CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602819 CCNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602820 O=C(NCCF)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602888 O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1)NC1CC1 | Serine/threonine-protein kinase mTOR
602889 O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602890 O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602891 O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1)Nc1cccnc1 | Serine/threonine-protein kinase mTOR
608600 CCCCCCOC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Rho-associated protein kinase 2
608601 CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Tyrosine-protein kinase receptor FLT3
611536 CCN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4ccc(F)c(O)c4)c(-c4ccncc4)nn23)cc1 | Serine/threonine-protein kinase B-raf
611538 COc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4)ccnc23)c1 | Serine/threonine-protein kinase B-raf
611539 COc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4F)ccnc23)c1 | Serine/threonine-protein kinase B-raf
611537 CC(=O)N1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4ccc(F)c(O)c4)c(-c4ccncc4)nn23)cc1 | Serine/threonine-protein kinase B-raf
611623 COc1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4)ccnc23)ccc1F | Serine/threonine-protein kinase B-raf
611624 COc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6C)cc4)ccnc23)c1 | Serine/threonine-protein kinase B-raf
611625 COc1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6C)cc4)ccnc23)ccc1F | Serine/threonine-protein kinase B-raf
611626 COc1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6C)cc4C)ccnc23)ccc1F | Serine/threonine-protein kinase B-raf
612272 CN1C2CCC1CN(c1ccc(-c3ccnc4c(-c5cccc(O)c5)c(-c5ccncc5)nn34)cc1)C2 | Serine/threonine-protein kinase B-raf
612273 COc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5CC6CCC(C5)N6C)cc4)ccnc23)c1 | Serine/threonine-protein kinase B-raf
612274 CN1C2CCC1CN(c1ccc(-c3ccnc4c(-c5ccc(Cl)c(O)c5)c(-c5ccncc5)nn34)cc1)C2 | Serine/threonine-protein kinase B-raf
612403 COc1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5CC6CCC(C5)N6C)cc4)ccnc23)ccc1Cl | Serine/threonine-protein kinase B-raf
612404 Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(NCC56CCN(CC5)CC6)cc4)ccnc23)c1 | Serine/threonine-protein kinase B-raf
612405 Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N[C@@H]5CN6CCC5CC6)cc4)ccnc23)c1 | Serine/threonine-protein kinase B-raf
612495 Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N[C@H]5CN6CCC5CC6)cc4)ccnc23)c1 | Serine/threonine-protein kinase B-raf
612496 Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4)ccnc23)c1 | Serine/threonine-protein kinase B-raf
612497 Cc1cc(N2C[C@@H]3C[C@H]2CN3)ccc1-c1ccnc2c(-c3cccc(O)c3)c(-c3ccncc3)nn12 | Serine/threonine-protein kinase B-raf
612544 Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4Cl)ccnc23)c1 | Serine/threonine-protein kinase B-raf
612545 Oc1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4)ccnc23)ccc1F | Serine/threonine-protein kinase B-raf
612543 Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4F)ccnc23)c1 | Serine/threonine-protein kinase B-raf
612604 CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1 | Serine/threonine-protein kinase B-raf
612605 Cc1cc(N2C[C@@H]3C[C@H]2CN3C)ccc1-c1ccnc2c(-c3cccc(O)c3)c(-c3ccncc3)nn12 | Serine/threonine-protein kinase B-raf
612606 CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)c(F)c1 | Serine/threonine-protein kinase B-raf
612699 CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)c(Cl)c1 | Serine/threonine-protein kinase B-raf
612700 CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4ccc(F)c(O)c4)c(-c4ccncc4)nn23)cc1 | Serine/threonine-protein kinase B-raf
612701 Cc1cc(N2C[C@@H]3C[C@H]2CN3C)ccc1-c1ccnc2c(-c3ccc(F)c(O)c3)c(-c3ccncc3)nn12 | Serine/threonine-protein kinase B-raf
614006 C[C@H]1CC=C2[C@@H](CCCC2(C)C)[C@]1(C)CC1=C(O)C(=O)C=C(NCCc2ccccc2)C1=O | Receptor protein-tyrosine kinase erbB-2
614063 CC1=CCC[C@@H]2[C@]1(C)CC[C@H](C)[C@@]2(C)CC1=C(O)C(=O)C=C(NCCS(=O)(=O)O)C1=O | Receptor protein-tyrosine kinase erbB-2
614923 CC(=O)O[C@@]12[C@H](OC(=O)CN(C)C)[C@@H](C)[C@@]3(O)[C@@H](C=C(CO)C[C@H]4C(=O)C(C)=C[C@H]43)[C@@H]1C2(C)C | Protein kinase C alpha
618824 CC(C)=CCC/C(C)=C/C[C@]12C(=O)C(C(=O)c3ccc(O)c(O)c3)=C(O)[C@](C/C=C(\C)CCC=C(C)C)(C[C@@H](CC=C(C)C)C1(C)C)C2=O | MAP kinase-activated protein kinase 2
618825 CC(C)=CCC/C(C)=C/C[C@]12C[C@@H](CC=C(C)C)[C@](C)(CCC=C(C)C)[C@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O | MAP kinase-activated protein kinase 2
619676 CN(C)CCNC(=O)Nc1ccc2c(c1)C(=O)/C(=C/c1cn(C)c3nccc(N4CC5CCC(C4)O5)c13)O2 | Serine/threonine-protein kinase mTOR
619774 CCNC(=O)Nc1ccc2c(c1)C(=O)/C(=C/c1cn(C)c3nccc(N4CC5CCC(C4)O5)c13)O2 | Serine/threonine-protein kinase mTOR
619775 CNC(=O)Nc1ccc2c(c1)C(=O)/C(=C/c1cn(C)c3nccc(N4CC5CCC(C4)O5)c13)O2 | Serine/threonine-protein kinase mTOR
619836 Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CC4CCC(C3)O4)ccnc21 | Serine/threonine-protein kinase mTOR
619837 Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4ccc(N5CCOCC5)nc4)cc3C2=O)c2c(N3CC4CCC(C3)O4)ccnc21 | Serine/threonine-protein kinase mTOR
619835 Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4ccccc4)cc3C2=O)c2c(N3CC4CCC(C3)O4)ccnc21 | Serine/threonine-protein kinase mTOR
619914 Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CC4CCC3CO4)ccnc21 | Serine/threonine-protein kinase mTOR
619915 Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3C4CCC3COC4)ccnc21 | Serine/threonine-protein kinase mTOR
619919 Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CCC(C(=O)N4CC5CCC(C4)O5)CC3)ccnc21 | Serine/threonine-protein kinase mTOR
619920 Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CCC(C(=O)N4C5CCC4COC5)CC3)ccnc21 | Serine/threonine-protein kinase mTOR
620171 Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)N4CC5CCC(C4)O5)cc3)ccnc21 | Serine/threonine-protein kinase mTOR
620172 Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(N3CCC(C(=O)N4CC5CCC(C4)O5)CC3)ccnc21 | Serine/threonine-protein kinase mTOR
620511 Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(N3CC4CCC(C3)O4)ccnc21 | Serine/threonine-protein kinase mTOR
620512 Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(N3C4CCC3COC4)ccnc21 | Serine/threonine-protein kinase mTOR
620783 CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5[C@H](CO)CC[C@@H]5CO)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620782 O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cc1 | Serine/threonine-protein kinase mTOR
620784 CC(C)Nc1nc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)nc(N2C3CCC2COC3)n1 | Serine/threonine-protein kinase mTOR
620785 CC(C)N(C)c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)nc(N2C3CCC2COC3)n1 | Serine/threonine-protein kinase mTOR
620786 CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCSCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620788 CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(C5=CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620789 CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620787 C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)nc(N2C3CCC2COC3)n1 | Serine/threonine-protein kinase mTOR
620790 O=C(Nc1ccc(-c2nc(C3CCOCC3)nc(N3C4CCC3COC4)n2)cc1)Nc1ccc(N2CCNCC2)cc1 | Serine/threonine-protein kinase mTOR
620792 CC(C)N1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620791 CCN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620793 CN(C)C1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620794 CN1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620795 CC(C)N1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620799 C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCNCC4)cc3)cc2)nc(N2C3CCC2COC3)n1 | Serine/threonine-protein kinase mTOR
620796 CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620797 CN(C)CCNC(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(C4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1 | Serine/threonine-protein kinase mTOR
620798 CN(C)CCOc1ccc(NC(=O)Nc2ccc(-c3nc(C4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1 | Serine/threonine-protein kinase mTOR
620800 CCN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5CCOC[C@H]5C)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620803 CC(C)N1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5CCOC[C@H]5C)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620801 CC(C)N1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5CCOC[C@H]5C)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
620802 C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCC(N(C)C)CC4)cc3)cc2)nc(N2C3CCC2COC3)n1 | Serine/threonine-protein kinase mTOR
620804 C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)NCCN(C)C)cc3)cc2)nc(N2C3CCC2COC3)n1 | Serine/threonine-protein kinase mTOR
620805 C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(OCCN(C)C)cc3)cc2)nc(N2C3CCC2COC3)n1 | Serine/threonine-protein kinase mTOR
620806 C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3cccnc3)cc2)nc(N2C[C@@H]3C[C@H]2CO3)n1 | Serine/threonine-protein kinase mTOR
621252 FC(F)c1nc2ccccc2n1-c1nc(N2CC3CCC(C2)O3)nc(N2CC3CCC(C2)O3)n1 | Serine/threonine-protein kinase mTOR
621253 FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CC3CCC(C2)O3)n1 | Serine/threonine-protein kinase mTOR
621325 O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)nc(N3CC4CCC(C3)O4)n2)cc1)NC1CC1 | Serine/threonine-protein kinase mTOR
621324 CCNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)nc(N3CC4CCC(C3)O4)n2)cc1 | Serine/threonine-protein kinase mTOR
621326 O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)nc(N3CC4CCC(C3)O4)n2)cc1 | Serine/threonine-protein kinase mTOR
621323 CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)nc(N3CC4CCC(C3)O4)n2)cc1 | Serine/threonine-protein kinase mTOR
621327 CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5CC6CCC(C5)O6)nc(N5CC6CCC(C5)O6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
621330 CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
621329 CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C[C@@H]6C[C@H]5CO6)nc(N5C[C@@H]6C[C@H]5CO6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
621328 CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C[C@H]6C[C@@H]5CO6)nc(N5C[C@H]6C[C@@H]5CO6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
621331 CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5CC6CCC(C5)O6)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
621949 CN(C)CCOc1ccc(NC(=O)Nc2ccc(-c3nc(N4C5CCC4COC5)nc(N4C5CCC4COC5)n3)cc2)cc1 | Serine/threonine-protein kinase mTOR
621943 C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)N4CCC(N(C)C)CC4)cc3)cc2)nc(N2C3CCC2COC3)n1 | Serine/threonine-protein kinase mTOR
621944 C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)N4CCN(C)CC4)cc3)cc2)nc(N2C3CCC2COC3)n1 | Serine/threonine-protein kinase mTOR
621946 CN1CCN(Cc2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
621945 O=C(Nc1ccc(-c2nc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cc1)Nc1ccc(N2CCNCC2)cc1 | Serine/threonine-protein kinase mTOR
621947 CN(C)Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4C5CCC4COC5)nc(N4C5CCC4COC5)n3)cc2)cc1 | Serine/threonine-protein kinase mTOR
621950 CN1CCN(CCOc2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | Serine/threonine-protein kinase mTOR
621948 CNCc1ccc(NC(=O)Nc2ccc(-c3nc(N4C5CCC4COC5)nc(N4C5CCC4COC5)n3)cc2)cc1 | Serine/threonine-protein kinase mTOR
621951 O=C(Nc1ccc(OCCN2CCCC2)cc1)Nc1ccc(-c2nc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cc1 | Serine/threonine-protein kinase mTOR
621952 O=C(Nc1ccc(OCCO)cc1)Nc1ccc(-c2nc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cc1 | Serine/threonine-protein kinase mTOR
623190 C[C@H](Nc1cc(N(Cc2ccc(F)cc2)C(=O)N2CCC3C=CC=CC3C2)ccn1)c1ccccc1 | MAP kinase p38 alpha
633571 CC1(C)C(=O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2Cc2cc3ccccc3n21 | 6-phospho-1-fructokinase
633648 CC1(C)C(=O)CC[C@]2(C)C3Cc4cc5ccccc5n4[C@]3(C)CC[C@@H]12 | 6-phospho-1-fructokinase
641006 O=C1O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(Oc5c(C(=O)O)cc(O)c(O)c5O)c(O)c4O)C(=O)OC[C@H]2O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2C2C1=CC(=O)C(O)(O)C2(O)O3 | Protein kinase C (PKC)
640998 O=C(O)C[C@@H]1C(=O)O[C@H]2[C@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H](OC(=O)c3cc(O)c(O)c4c3[C@H]1[C@H](O)C(=O)O4)[C@@H](OC(=O)c1cc(O)c(O)c(O)c1)O[C@@H]2COC(=O)c1cc(O)c(O)c(O)c1 | Protein kinase C (PKC)
640999 O=C1O[C@H]2[C@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H](OC(=O)c3cc(O)c(O)c4c3C3C1=CC(=O)C(O)(O)C3(O)O4)[C@@H](OC(=O)c1cc(O)c(O)c(O)c1)O[C@@H]2COC(=O)c1cc(O)c(O)c(O)c1 | Protein kinase C (PKC)
641000 O=C1O[C@H]2[C@H](O)[C@@H](OC(=O)c3cc(O)c(O)c4c3C3C1=CC(=O)C(O)(O)C3(O)O4)[C@@H](OC(=O)c1cc(O)c(O)c(O)c1)O[C@@H]2CO | Protein kinase C (PKC)
641007 O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(Oc4c(C(=O)O)cc(O)c(O)c4O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]([C@H]1O)[C@@H]2O)c1cc(O)c(O)c(O)c1 | Protein kinase C (PKC)
641005 O=C1O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC[C@H]2O[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2C2C1=CC(=O)C(O)(O)C2(O)O3 | Protein kinase C (PKC)
645614 CC1(C)O[C@@H]2[C@@H](COP(=O)(O)CP(=O)(O)O)O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@@H]2O1 | GTP pyrophosphokinase
674668 NS(=O)(=O)c1cc2c(cc1Cl)NC(C1C[C@H]3C=C[C@@H]1C3)NS2(=O)=O | Pyruvate kinase isozymes M1/M2
684586 O=C1CC2CC(=O)NC(=O)C2C(=O)N1 | Mitogen-activated protein kinase kinase kinase 14
684836 C[C@H]1CC[C@@H]2[C@@H](C)[C@H]3[C@H](C[C@H]4[C@@H]5CC=C6C[C@@H](O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@H]7O[C@@H](C)[C@H](O)[C@@H](O)[C@H]7O)CC[C@]6(C)[C@H]5CC[C@@]43C)N2C1 | MAP kinase p38
688084 CC1=CC(C)=C2C=C3C=CC(CCC(=O)NCCCCCC(=O)NCCCCNC(=O)OCCCn4c(C(=O)CF)c(-c5ccc(C)cc5)c5c(N)ncnc54)=[N+]3[B-](F)(F)C12 | Ribosomal protein S6 kinase alpha 3
689930 Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3cccc(C(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)c3)nc21 | Tyrosine-protein kinase ABL
690661 COc1cc2c(cc1O)CCN[C@]21CS[C@H]2c3c(OC(C)=O)c(C)c4c(c3[C@@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4 | Tyrosine-protein kinase SRC
692939 CC[C@@H](C)C(=O)O[C@@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@@H](CC[C@H]3C[C@@H](O)CC(=O)O3)[C@H]21 | MAP kinase ERK2
701159 CC1(C)CC2(C)Nc3cc(-c4ccc5c(c4)NC4(C)CC(C)(C)NC(=S)N54)ccc3N2C(=S)N1 | Cyclin-dependent kinase 5
703504 CN(C)CCOc1ccc(-c2nc(-c3ccc4c(c3)CC3CC(=O)NN=C43)c(-c3ccncc3)[nH]2)cc1 | Serine/threonine-protein kinase B-raf
704793 CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | PI3-kinase p110-alpha subunit
704794 CN(C)CCOc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1 | PI3-kinase p110-alpha subunit
704795 CN1CCN(Cc2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1 | PI3-kinase p110-alpha subunit
704796 O=C(Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1)Nc1ccc(-c2cccnc2)nc1 | PI3-kinase p110-alpha subunit
706719 N#Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1 | PI3-kinase p110-alpha subunit
706843 Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1 | PI3-kinase p110-alpha subunit
706844 O=C(Nc1ccc(F)cc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1 | PI3-kinase p110-alpha subunit
706960 O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1 | PI3-kinase p110-alpha subunit
707073 COc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1OC | PI3-kinase p110-alpha subunit
707190 O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1 | PI3-kinase p110-alpha subunit
707305 O=C(Nc1ccc(CCO)cc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1 | PI3-kinase p110-alpha subunit
707358 O=C1C[C@H]2CCC[C@]3(C[C@@H](C[C@@H](CCCCc4ccccc4)O3)OC(=O)C[C@H](CO)O1)O2 | Protein kinase C theta
707418 CN(C)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1 | PI3-kinase p110-alpha subunit
707527 O=C(Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1)Nc1cccnc1 | PI3-kinase p110-alpha subunit
707528 O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1 | PI3-kinase p110-alpha subunit
707646 O=C(Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1)Nc1ccnc(Cl)c1 | PI3-kinase p110-alpha subunit
707647 O=C(Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1)Nc1cncnc1 | PI3-kinase p110-alpha subunit
707756 O=C(Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1)Nc1ccnnc1 | PI3-kinase p110-alpha subunit
707757 O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4COCC3[C@@H](O)C4)n2)cc1 | PI3-kinase p110-alpha subunit
712132 Cc1cc(N2C[C@@H]3C[C@H]2CN3C)ccc1-c1ccnc2c(-c3cccc4[nH]ncc34)c(-c3ccncc3)nn12 | Serine/threonine-protein kinase B-raf
712137 CN(C)c1cc(N2C[C@@H]3C[C@H]2CN3C)ccc1-c1ccnc2c(-c3cccc4[nH]ncc34)c(-c3ccncc3)nn12 | Serine/threonine-protein kinase B-raf
712134 CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c(Cl)c1 | Serine/threonine-protein kinase B-raf
712139 CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)cc1C(F)(F)F | Serine/threonine-protein kinase B-raf
