7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
39268 CCCCCNC(=O)[C@@H]1CCCN2C(=O)CC[C@H](NC(=O)[C@H](Cc3ccc(OP(=O)(O)O)cc3)NC(C)=O)C(=O)N12 | Tyrosine-protein kinase LCK
39803 CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCC(=O)N2CCC[C@@H](C(=O)NCc3ccccc3)N2C1=O | Tyrosine-protein kinase LCK
41580 CC(=O)N1CC2CCC(C)(C1)c1ccc(O)cc12 | Tyrosine-protein kinase LCK
42145 CC(=O)N1CC2CCC(C)(C1)c1ccc(OP(=O)(O)O)cc12 | Tyrosine-protein kinase LCK
52028 C=CCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCC=C)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O | Mitogen-activated protein kinase kinase kinase 9
52029 COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccc(CO)cc3c3c4c(c5c6cc(CO)ccc6n2c5c31)C(=O)NC4 | Mitogen-activated protein kinase kinase kinase 9
52141 CCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O | Mitogen-activated protein kinase kinase kinase 9
52140 CCCCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCCCC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O | Mitogen-activated protein kinase kinase kinase 9
52172 CCOCc1ccc2c(c1)c1c3c(c4c5cc(COCC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O | Mitogen-activated protein kinase kinase kinase 9
52325 CCCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCCC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O | Mitogen-activated protein kinase kinase kinase 9
52326 COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccc(CSC(C)C)cc3c3c4c(c5c6cc(CSC(C)C)ccc6n2c5c31)C(=O)NC4 | Mitogen-activated protein kinase kinase kinase 9
52327 COCc1ccc2c(c1)c1c3c(c4c5cc(COC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O | Mitogen-activated protein kinase kinase kinase 9
52974 COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccc(CSCCN(C)C)cc3c3c4c(c5c6cc(CSCCN(C)C)ccc6n2c5c31)C(=O)NC4 | Mitogen-activated protein kinase kinase kinase 9
